31 0 0 1 30
32 0 0 3 10
33 1 0 1 15
34 1 0 2  29
33 2 0 1 30 
40 2 0 3 59
39 3 0 2 55
51 3 0 3 30
54 3 0 3 17
38 4 0 1 11
39 4 0 2 45
43 4 0 2 40
37 5 0 1 55
39 5 0 1 30 
41 6 0 1 31
41 6 0 1 30
42 7 0 2 50 
46 9 0 2 18
49 12 0 1 35
54 15 0 1 30 
30 1 1 2 7
34 2 1 1 7
42 2 1 1 30
36 2 1 2 30
43 3 1 1 28
44 3 1 3 24
46 4 1 1 7
43 4 1 2 51
45 4 1 2 22
47 4 1 2 35
44 5 1 1 34
34 5 1 2 57
46 6 1 1 43
51 7 1 1 35
47 7 1 2 21
50 8 1 1 30
51 8 1 1 15
51 9 1 2 24 
51 9 1 3 30
54 10 1 3 56
63 10 1 3 55
56 12 1 3 19
58 13 1 3 44
58 14 1 1 44
59 14 1 1 38
58 14 1 2 38
66 17 1 1 50
67 19 1 2 37
59 20 1 2 40
64 22 1 3 44
